Sumber,Rujuk,Keterangan
ISO 9001,pengurusan,"Konsep pemikiran berasaskan risiko tersirat dalam edisi terdahulu Standard Antarabangsa
ini, contohnya melalui keperluan untuk merancang, menyemak semula dan menambah baik.
Standard Antarabangsa ini menetapkan keperluan bagi organisasi memahami konteksnya
(lihat 4.1) dan menentukan risiko sebagai asas perancangan (lihat 6.1). Hal ini
menggambarkan penggunaan pemikiran berasaskan risiko untuk merancang dan
melaksanakan proses sistem pengurusan kualiti (lihat 4.4) dan membantu dalam menentukan
tahap maklumat didokumentasikan."
ISO 9001,pengurusan,"Satu daripada matlamat utama sistem pengurusan kualiti adalah untuk berfungsi sebagai alat
pencegahan. Oleh itu, Standard Antarabangsa ini tidak mempunyai suatu klausa atau
subklausa berasingan tentang tindakan pencegahan. Konsep tindakan pencegahan
dinyatakan melalui penggunaan pemikiran berasaskan risiko dalam merangka keperluan
sistem pengurusan kualiti."
ISO 9001,prestasi,"Pemikiran berasaskan risiko yang diguna pakai dalam Standard Antarabangsa ini
membolehkan sedikit pengurangan dalam keperluan preskriptif dan penggantiannya dengan
keperluan berasaskan prestasi. Terdapat keluwesan lebih besar berbanding yang terkandung
dalam ISO 9001:2008 dalam keperluan untuk proses, maklumat didokumentasikan dan
tanggungjawab organisasi."
ISO 9001,tanggungjawab,"Pemikiran berasaskan risiko yang diguna pakai dalam Standard Antarabangsa ini
membolehkan sedikit pengurangan dalam keperluan preskriptif dan penggantiannya dengan
keperluan berasaskan prestasi. Terdapat keluwesan lebih besar berbanding yang terkandung
dalam ISO 9001:2008 dalam keperluan untuk proses, maklumat didokumentasikan dan
tanggungjawab organisasi."
ISO 9001,pengurusan,"Walaupun 6.1 menetapkan bahawa organisasi hendaklah merancang tindakan bagi
menyatakan risiko, tidak ada keperluan terhadap kaedah formal untuk pengurusan risiko atau
proses pengurusan risiko yang didokumentasikan. Organisasi boleh memutuskan sama ada
atau tidak untuk membangunkan metodologi pengurusan risiko yang lebih luas daripada yang
diperlukan oleh Standard Antarabangsa ini, contohnya melalui penggunaan panduan atau
standard lain."
ISO 9001,pengurusan,"Tidak semua proses sistem pengurusan kualiti mewakili tahap risiko yang sama dari segi
keupayaan organisasi mencapai matlamatnya, dan kesan ketaktentuan adalah tidak sama
bagi semua organisasi. Di bawah keperluan 6.1, organisasi bertanggungjawab atas
penggunaan pemikiran berasaskan risiko dan tindakan yang diambil oleh organisasi untuk
menyatakan risiko, termasuk sama ada atau tidak untuk mengekalkan maklumat
didokumentasikan sebagai bukti penentuan risikonya."
ISO 9001,tanggungjawab,"Tidak semua proses sistem pengurusan kualiti mewakili tahap risiko yang sama dari segi
keupayaan organisasi mencapai matlamatnya, dan kesan ketaktentuan adalah tidak sama
bagi semua organisasi. Di bawah keperluan 6.1, organisasi bertanggungjawab atas
penggunaan pemikiran berasaskan risiko dan tindakan yang diambil oleh organisasi untuk
menyatakan risiko, termasuk sama ada atau tidak untuk mengekalkan maklumat
didokumentasikan sebagai bukti penentuan risikonya."
ISO 9001,pengurusan,"Standard Antarabangsa ini tidak menyebut ""tidak dimasukkan"" berhubung dengan
kebolehgunaan keperluannya kepada sistem pengurusan kualiti organisasi. Walau
bagaimanapun, sesuatu organisasi boleh menyemak semula kebolehgunaan keperluan
disebabkan oleh saiz atau kerumitan organisasi, model pengurusan yang diterima guna,
pelbagai aktiviti organisasi dan jenis risiko dan peluang yang dihadapi."
ISO 9001,pengurusan,"Keperluan untuk kebolehgunaan dinyatakan dalam 4.3, yang menetapkan keadaan yang
sesuatu organisasi boleh memutuskan bahawa sesuatu keperluan tidak boleh diguna pakai
untuk mana-mana proses dalam skop sistem pengurusan kualitinya. Organisasi hanya boleh
memutuskan bahawa sesuatu keperluan itu tidak terpakai jika keputusannya tidak akan
mengakibatkan kegagalan untuk mencapai keakuran produk dan perkhidmatan."
ISO 9001,pengurusan,"Sebagai sebahagian daripada kesejajaran dengan standard sistem pengurusan yang lain,
klausa umum tentang ""maklumat didokumentasikan"" telah diterima guna tanpa perubahan
atau tambahan ketara (lihat 7.5). Jika sesuai, teks lain dalam Standard Antarabangsa ini telah
disejajarkan dengan keperluannya. Oleh itu, ""maklumat didokumentasikan"" digunakan untuk
semua keperluan dokumen."
ISO 9001,rekod,"Jika ISO 9001:2008 menggunakan istilah ""rekod"" bagi menandakan dokumen yang
diperlukan untuk menyediakan bukti keakuran terhadap keperluan, hal ini kini dinyatakan
sebagai keperluan untuk ""mengekalkan maklumat didokumentasikan"". Organisasi
bertanggungjawab menentukan maklumat didokumentasikan yang perlu dikekalkan, tempoh
pengekalannya dan media yang akan digunakan untuk mengekalkannya."
ISO 9001,tanggungjawab,"Jika ISO 9001:2008 menggunakan istilah ""rekod"" bagi menandakan dokumen yang
diperlukan untuk menyediakan bukti keakuran terhadap keperluan, hal ini kini dinyatakan
sebagai keperluan untuk ""mengekalkan maklumat didokumentasikan"". Organisasi
bertanggungjawab menentukan maklumat didokumentasikan yang perlu dikekalkan, tempoh
pengekalannya dan media yang akan digunakan untuk mengekalkannya."
ISO 9001,kawalan,"A.8 Kawalan proses, produk dan perkhidmatan sediaan luar"
ISO 9001,kawalan,"Kawalan yang diperlukan untuk penyediaan luar boleh sangat berbeza bergantung kepada
keadaan proses, produk dan perkhidmatan. Organisasi boleh mengguna pakai pemikiran
berasaskan risiko bagi menentukan jenis dan takat kawalan yang sesuai untuk penyedia luar
dan proses, produk dan perkhidmatan sediaan luar yang tertentu."
ISO 9001,pengurusan,Standard Antarabangsa lain tentang pengurusan kualiti dan sistem
ISO 9001,pengurusan,pengurusan kualiti yang dibangunkan oleh ISO/TC 176
ISO 9001,senarai,"Standard Antarabangsa yang diperihalkan dalam lampiran ini telah dibangunkan oleh
ISO/TC 176 untuk menyediakan maklumat sokongan kepada organisasi yang menggunakan
Standard Antarabangsa ini, dan untuk memberi panduan kepada organisasi yang memilih
untuk maju melampaui keperluannya. Panduan atau keperluan yang terkandung dalam
dokumen yang tersenarai dalam lampiran ini tidak menambah, atau mengubah suai,
keperluan Standard Antarabangsa ini."
ISO 9001,pengurusan,"Lampiran ini tidak termasuk rujukan standard sistem pengurusan kualiti sektor khusus yang
dibangunkan oleh ISO/TC 176."
ISO 9001,kawalan,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,pengurusan,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,komunikasi,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,prestasi,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,pelanggan,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,penambahbaikan,"- ISO 9000 Quality management systems - Fundamentals and vocabulary menyediakan
 latar belakang yang penting untuk pemahaman dan pelaksanaan yang sesuai bagi
 Standard Antarabangsa ini. Prinsip pengurusan kualiti diperihalkan secara terperinci
 dalam ISO 9000 dan telah diambil kira semasa pembangunan Standard Antarabangsa
 ini. Prinsip ini bukanlah keperluan sebenar, tetapi merupakan asas bagi keperluan yang
 ditetapkan oleh Standard Antarabangsa ini. ISO 9000 juga menetapkan terma, takrifan
 dan konsep yang digunakan dalam Standard Antarabangsa ini.
- ISO 9001 (Standard Antarabangsa ini) menetapkan keperluan yang tujuan utamanya
 adalah untuk memberi keyakinan terhadap produk dan perkhidmatan yang disediakan
 oleh sesuatu organisasi dan dengan itu meningkatkan kepuasan pelanggan.
 Pelaksanaannya yang sesuai juga boleh dijangka akan membawa manfaat lain kepada
 organisasi, seperti komunikasi dalaman yang bertambah baik, pemahaman dan kawalan
 proses organisasi yang lebih baik.
- ISO 9004 Managing for the sustained success of an organization - A quality
 management approach menyediakan panduan kepada organisasi yang memilih untuk
 maju melampaui keperluan Standard Antarabangsa ini, bagi menangani topik yang lebih
 meluas yang boleh membawa kepada penambahbaikan prestasi keseluruhan organisasi.
 ISO 9004 termasuk panduan tentang metodologi swapenilaian yang membolehkan
 sesebuah organisasi menilai tahap kematangan sistem pengurusan kualitinya."
ISO 9001,pengurusan,"Standard Antarabangsa yang digariskan di bawah boleh membantu organisasi apabila
organisasi mewujudkan atau ingin menambah baik sistem kualiti pengurusan, proses atau
aktivitinya."
ISO 9001,kawalan,"- ISO 10001 Quality management - Customer satisfaction - Guidelines for codes of
 conduct for organizations menyediakan panduan untuk sesuatu organisasi dalam
 menentukan bahawa peruntukan kepuasan pelanggannya memenuhi keperluan dan
 jangkaan pelanggan. Penggunaannya dapat meningkatkan keyakinan pelanggan
 terhadap sesuatu organisasi dan menambah baik pemahaman pelanggan tentang apa
 yang diharapkan daripada sesuatu organisasi, dan dengan itu mengurangkan
 kemungkinan salah faham dan aduan.
- ISO 10002 Quality management - Customer satisfaction - Guidelines for complaints
 handling in organizations menyediakan panduan tentang proses pengendalian aduan
 dengan mengambil kira dan menangani keperluan dan jangkaan pengadu serta
 menyelesaikan apa-apa aduan yang diterima. ISO 10002 menyediakan proses aduan
 terbuka, berkesan dan mudah untuk digunakan, termasuk latihan modal insan. Ia juga
 menyediakan panduan untuk perniagaan kecil.
- ISO 10003 Quality management - Customer satisfaction - Guidelines for dispute
 resolution external to organizations menyediakan panduan bagi penyelesaian pertikaian
 luar yang cekap dan berkesan untuk aduan berkaitan produk. Penyelesaian pertikaian
 memberikan ruang bagi tebus rugi apabila organisasi tidak membetulkan aduan secara
 dalaman. Kebanyakan aduan boleh diselesaikan dengan jayanya dalam organisasi,
 tanpa prosedur bertentangan.
- ISO 10004 Quality management - Customer satisfaction - Guidelines for monitoring and
 measuring menyediakan garis panduan bagi tindakan untuk meningkatkan kepuasan
 pelanggan dan untuk menentukan peluang bagi penambahbaikan produk, proses dan
 sifat khusus yang dihargai oleh pelanggan. Tindakan sedemikian boleh mengukuhkan
 kesetiaan pelanggan dan membantu mengekalkan pelanggan.
- ISO 10005 Quality management systems - Guidelines for quality plans menyediakan
 panduan bagi mewujudkan dan menggunakan rancangan kualiti sebagai suatu cara
 untuk menghubungkan keperluan proses, produk, projek atau kontrak, dengan kaedah
 dan amalan kerja yang menyokong penghasilan produk. Manfaat mewujudkan rancangan
 kualiti ialah peningkatan keyakinan bahawa keperluan akan dipenuhi, proses berada
 dalam kawalan dan motivasi yang dapat diberikan kepada mereka yang terlibat.
- ISO 10006 Quality management systems - Guidelines for quality management in projects
 terpakai untuk projek kecil mahupun yang besar, mudah mahupun rumit, projek individu
 mahupun sebahagian daripada portfolio projek. ISO 10006 adalah untuk digunakan oleh
 kakitangan yang mengurus projek dan sesiapa yang perlu bagi memastikan bahawa
 organisasi mereka mengguna pakai amalan yang terkandung dalam standard sistem
 pengurusan kualiti ISO.
- ISO 10007 Quality management systems - Guidelines for configuration management
 adalah untuk membantu organisasi yang mengguna pakai pengurusan konfigurasi bagi
 hala tuju teknikal dan pentadbiran sepanjang kitaran hayat produk. Pengurusan
 konfigurasi boleh digunakan untuk memenuhi keperluan pengenalpastian dan
 kebolehkesanan produk yang dinyatakan dalam Standard Antarabangsa ini."
ISO 9001,pengurusan,"- ISO 10001 Quality management - Customer satisfaction - Guidelines for codes of
 conduct for organizations menyediakan panduan untuk sesuatu organisasi dalam
 menentukan bahawa peruntukan kepuasan pelanggannya memenuhi keperluan dan
 jangkaan pelanggan. Penggunaannya dapat meningkatkan keyakinan pelanggan
 terhadap sesuatu organisasi dan menambah baik pemahaman pelanggan tentang apa
 yang diharapkan daripada sesuatu organisasi, dan dengan itu mengurangkan
 kemungkinan salah faham dan aduan.
- ISO 10002 Quality management - Customer satisfaction - Guidelines for complaints
 handling in organizations menyediakan panduan tentang proses pengendalian aduan
 dengan mengambil kira dan menangani keperluan dan jangkaan pengadu serta
 menyelesaikan apa-apa aduan yang diterima. ISO 10002 menyediakan proses aduan
 terbuka, berkesan dan mudah untuk digunakan, termasuk latihan modal insan. Ia juga
 menyediakan panduan untuk perniagaan kecil.
- ISO 10003 Quality management - Customer satisfaction - Guidelines for dispute
 resolution external to organizations menyediakan panduan bagi penyelesaian pertikaian
 luar yang cekap dan berkesan untuk aduan berkaitan produk. Penyelesaian pertikaian
 memberikan ruang bagi tebus rugi apabila organisasi tidak membetulkan aduan secara
 dalaman. Kebanyakan aduan boleh diselesaikan dengan jayanya dalam organisasi,
 tanpa prosedur bertentangan.
- ISO 10004 Quality management - Customer satisfaction - Guidelines for monitoring and
 measuring menyediakan garis panduan bagi tindakan untuk meningkatkan kepuasan
 pelanggan dan untuk menentukan peluang bagi penambahbaikan produk, proses dan
 sifat khusus yang dihargai oleh pelanggan. Tindakan sedemikian boleh mengukuhkan
 kesetiaan pelanggan dan membantu mengekalkan pelanggan.
- ISO 10005 Quality management systems - Guidelines for quality plans menyediakan
 panduan bagi mewujudkan dan menggunakan rancangan kualiti sebagai suatu cara
 untuk menghubungkan keperluan proses, produk, projek atau kontrak, dengan kaedah
 dan amalan kerja yang menyokong penghasilan produk. Manfaat mewujudkan rancangan
 kualiti ialah peningkatan keyakinan bahawa keperluan akan dipenuhi, proses berada
 dalam kawalan dan motivasi yang dapat diberikan kepada mereka yang terlibat.
- ISO 10006 Quality management systems - Guidelines for quality management in projects
 terpakai untuk projek kecil mahupun yang besar, mudah mahupun rumit, projek individu
 mahupun sebahagian daripada portfolio projek. ISO 10006 adalah untuk digunakan oleh
 kakitangan yang mengurus projek dan sesiapa yang perlu bagi memastikan bahawa
 organisasi mereka mengguna pakai amalan yang terkandung dalam standard sistem
 pengurusan kualiti ISO.
- ISO 10007 Quality management systems - Guidelines for configuration management
 adalah untuk membantu organisasi yang mengguna pakai pengurusan konfigurasi bagi
 hala tuju teknikal dan pentadbiran sepanjang kitaran hayat produk. Pengurusan
 konfigurasi boleh digunakan untuk memenuhi keperluan pengenalpastian dan
 kebolehkesanan produk yang dinyatakan dalam Standard Antarabangsa ini."
ISO 9001,pelanggan,"- ISO 10001 Quality management - Customer satisfaction - Guidelines for codes of
 conduct for organizations menyediakan panduan untuk sesuatu organisasi dalam
 menentukan bahawa peruntukan kepuasan pelanggannya memenuhi keperluan dan
 jangkaan pelanggan. Penggunaannya dapat meningkatkan keyakinan pelanggan
 terhadap sesuatu organisasi dan menambah baik pemahaman pelanggan tentang apa
 yang diharapkan daripada sesuatu organisasi, dan dengan itu mengurangkan
 kemungkinan salah faham dan aduan.
- ISO 10002 Quality management - Customer satisfaction - Guidelines for complaints
 handling in organizations menyediakan panduan tentang proses pengendalian aduan
 dengan mengambil kira dan menangani keperluan dan jangkaan pengadu serta
 menyelesaikan apa-apa aduan yang diterima. ISO 10002 menyediakan proses aduan
 terbuka, berkesan dan mudah untuk digunakan, termasuk latihan modal insan. Ia juga
 menyediakan panduan untuk perniagaan kecil.
- ISO 10003 Quality management - Customer satisfaction - Guidelines for dispute
 resolution external to organizations menyediakan panduan bagi penyelesaian pertikaian
 luar yang cekap dan berkesan untuk aduan berkaitan produk. Penyelesaian pertikaian
 memberikan ruang bagi tebus rugi apabila organisasi tidak membetulkan aduan secara
 dalaman. Kebanyakan aduan boleh diselesaikan dengan jayanya dalam organisasi,
 tanpa prosedur bertentangan.
- ISO 10004 Quality management - Customer satisfaction - Guidelines for monitoring and
 measuring menyediakan garis panduan bagi tindakan untuk meningkatkan kepuasan
 pelanggan dan untuk menentukan peluang bagi penambahbaikan produk, proses dan
 sifat khusus yang dihargai oleh pelanggan. Tindakan sedemikian boleh mengukuhkan
 kesetiaan pelanggan dan membantu mengekalkan pelanggan.
- ISO 10005 Quality management systems - Guidelines for quality plans menyediakan
 panduan bagi mewujudkan dan menggunakan rancangan kualiti sebagai suatu cara
 untuk menghubungkan keperluan proses, produk, projek atau kontrak, dengan kaedah
 dan amalan kerja yang menyokong penghasilan produk. Manfaat mewujudkan rancangan
 kualiti ialah peningkatan keyakinan bahawa keperluan akan dipenuhi, proses berada
 dalam kawalan dan motivasi yang dapat diberikan kepada mereka yang terlibat.
- ISO 10006 Quality management systems - Guidelines for quality management in projects
 terpakai untuk projek kecil mahupun yang besar, mudah mahupun rumit, projek individu
 mahupun sebahagian daripada portfolio projek. ISO 10006 adalah untuk digunakan oleh
 kakitangan yang mengurus projek dan sesiapa yang perlu bagi memastikan bahawa
 organisasi mereka mengguna pakai amalan yang terkandung dalam standard sistem
 pengurusan kualiti ISO.
- ISO 10007 Quality management systems - Guidelines for configuration management
 adalah untuk membantu organisasi yang mengguna pakai pengurusan konfigurasi bagi
 hala tuju teknikal dan pentadbiran sepanjang kitaran hayat produk. Pengurusan
 konfigurasi boleh digunakan untuk memenuhi keperluan pengenalpastian dan
 kebolehkesanan produk yang dinyatakan dalam Standard Antarabangsa ini."
ISO 9001,penambahbaikan,"- ISO 10001 Quality management - Customer satisfaction - Guidelines for codes of
 conduct for organizations menyediakan panduan untuk sesuatu organisasi dalam
 menentukan bahawa peruntukan kepuasan pelanggannya memenuhi keperluan dan
 jangkaan pelanggan. Penggunaannya dapat meningkatkan keyakinan pelanggan
 terhadap sesuatu organisasi dan menambah baik pemahaman pelanggan tentang apa
 yang diharapkan daripada sesuatu organisasi, dan dengan itu mengurangkan
 kemungkinan salah faham dan aduan.
- ISO 10002 Quality management - Customer satisfaction - Guidelines for complaints
 handling in organizations menyediakan panduan tentang proses pengendalian aduan
 dengan mengambil kira dan menangani keperluan dan jangkaan pengadu serta
 menyelesaikan apa-apa aduan yang diterima. ISO 10002 menyediakan proses aduan
 terbuka, berkesan dan mudah untuk digunakan, termasuk latihan modal insan. Ia juga
 menyediakan panduan untuk perniagaan kecil.
- ISO 10003 Quality management - Customer satisfaction - Guidelines for dispute
 resolution external to organizations menyediakan panduan bagi penyelesaian pertikaian
 luar yang cekap dan berkesan untuk aduan berkaitan produk. Penyelesaian pertikaian
 memberikan ruang bagi tebus rugi apabila organisasi tidak membetulkan aduan secara
 dalaman. Kebanyakan aduan boleh diselesaikan dengan jayanya dalam organisasi,
 tanpa prosedur bertentangan.
- ISO 10004 Quality management - Customer satisfaction - Guidelines for monitoring and
 measuring menyediakan garis panduan bagi tindakan untuk meningkatkan kepuasan
 pelanggan dan untuk menentukan peluang bagi penambahbaikan produk, proses dan
 sifat khusus yang dihargai oleh pelanggan. Tindakan sedemikian boleh mengukuhkan
 kesetiaan pelanggan dan membantu mengekalkan pelanggan.
- ISO 10005 Quality management systems - Guidelines for quality plans menyediakan
 panduan bagi mewujudkan dan menggunakan rancangan kualiti sebagai suatu cara
 untuk menghubungkan keperluan proses, produk, projek atau kontrak, dengan kaedah
 dan amalan kerja yang menyokong penghasilan produk. Manfaat mewujudkan rancangan
 kualiti ialah peningkatan keyakinan bahawa keperluan akan dipenuhi, proses berada
 dalam kawalan dan motivasi yang dapat diberikan kepada mereka yang terlibat.
- ISO 10006 Quality management systems - Guidelines for quality management in projects
 terpakai untuk projek kecil mahupun yang besar, mudah mahupun rumit, projek individu
 mahupun sebahagian daripada portfolio projek. ISO 10006 adalah untuk digunakan oleh
 kakitangan yang mengurus projek dan sesiapa yang perlu bagi memastikan bahawa
 organisasi mereka mengguna pakai amalan yang terkandung dalam standard sistem
 pengurusan kualiti ISO.
- ISO 10007 Quality management systems - Guidelines for configuration management
 adalah untuk membantu organisasi yang mengguna pakai pengurusan konfigurasi bagi
 hala tuju teknikal dan pentadbiran sepanjang kitaran hayat produk. Pengurusan
 konfigurasi boleh digunakan untuk memenuhi keperluan pengenalpastian dan
 kebolehkesanan produk yang dinyatakan dalam Standard Antarabangsa ini."
